,Functional Area,Applies To,Time Scale,Time Range,Versions,Breakback,Users List,Cell Count,Notes,Read Access Driver,Write Access Driver,Data Tags,Managed By,Referenced By,Used in Dashboards,Line Items
MA 03. LIS DA04 to Rekeningcategorie,SYSTEM,Rekeningcategorie,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,72,,,,,,'CA 01. SIP - continued',,"LIS DA04 (cumulatief), LIS DA04, Inflatie, Dummy, CA 21, CA 23"
MA 04. Mapping Rekeningcategorie naar COEA,SYSTEM,"Rekeningcategorie, COEA",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,192,,,,,,'IP 10x2. NEW Handmatig Verdeling naar KP',,"Show?, Automatic allocation?, Filters for allocation, Handmatig in Mapping?, Berekend in Mapping?"
MA 05. Automatische allocatie,SYSTEM,"MJP Versions L2, COEA, Rekeningcategorie",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,96,RM: Used for allocation to Season in IP05 and to GBR in CA11.,,,,,"'└ IP 10c. Selecteer seizoenspatroon', 'CA 11 NEW. Verdeling naar Grootboekrekening'",,Automatische allocatie?
MA 06. NEW. COEA -> Rekeningcategorie,SYSTEM,"COEA, Rekeningcategorie, LIS (IP 10new)",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,339,RM: Used for allocation to KP in IP10.,,,,,'MA 04. Mapping Rekeningcategorie naar COEA',,"Mapping, Mapping incl Totaal"
MA 07. Kostenplaats L7 Aggregation mapping - Version based,SYSTEM,"MJP Versions L2, SS Kostenplaats L7 - Active",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,159985,,,,,,'└ DA 31b.  Historical Data Aggregated',,"Item, Parent, Overwrite, Final Grouping, Has value?, ---Technical---, Kostenplaats L7 Active - Write access, Kostenplaats L7 Budget?, Aanwezig in budget?, KPI - Niet toegewezen Kostenplaats, Filter - Niet toegewezen Kostenplaats, Format input Budget, Format input"
MA 08. Acount L12 aggregation mapping,SYSTEM,SS - Account L12 - Active,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,3760,,,,,,'└ DA 31b.  Historical Data Aggregated',,"Item, Loaded Grouping, Loaded Grouping text, Overwrite, Has value, ---Technical---, Final Grouping, Property, Part of Subset?, Filter dashboard, Filter parent, Account L12 active - write acess, Is budget?, Aanwezig in budget?, Format input"
MA 09. Account L12 aggregation mapping - Version based,SYSTEM,"MJP Versions L2, SS - Account L12 - Active",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,46460,,,,,,'└ DA 31b.  Historical Data Aggregated',,"Item, Loaded Grouping, Loaded Grouping text, Overwrite, Has value, TECH, Final Grouping, Property, Part of Subset?, Filter dashboard, Filter parent, Account L12 active - write acess, Is budget?, Aanwezig in budget?, KPI - Niet toegewezen Account, Filter - Niet toegewezen Account, Format input Budget, Format input"
MA 10. Afdeling op Thema's of Activiteiten,SYSTEM,"MJP Versions L2, SIP Thema L3, SS Afdeling L5 - OPS (SIP)",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,23988,,,,,,"'FI 11. Activiteit L4 +', 'MA 11. Afdeling op L3++', 'MA 12.  Afdeling op L4+'",,"Planningsniveau - SIP Thema L3, Planningsniveau - SIP Activiteit L4, TECH, Afdeling, Filter Themas in Afdeling, Show valid combinations?, Format input"
MA 11. Afdeling op L3++,SYSTEM,"MJP Versions L2, SIP Thema L3++, SS Afdeling L5 - OPS (SIP)",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,2329496,,,,,,"'IP 19. UMDT op L3++ Thema''s', '└  FI 07r. User Filters - Thema L3++ & Afdeling'",,"Sip Thema L3, Default planning, Exclude?, Afdeling, Filter Themas L3++ in afdeling (old), Show selected Thema L3, Filter Themas L3++ in afdeling, Filter Valid Combinations, Format input"
MA 12.  Afdeling op L4+,SYSTEM,"MJP Versions L2, SIP Activiteit L4 +, SS Afdeling L5 - OPS (SIP)",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,895533,,,,,,'FI 11. Activiteit L4 +',,"Sip Thema L3, Default planning, Default Planning User Filter"
== Adjust ==,,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,0,HV: Remove after cleanup.,,,,,,,
MA 15. COEA -> Rekeningcategorie,SYSTEM,"COEA, Rekeningcategorie, LIS (IP 10) Filter",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,435,HV: Delete after LIS removal.,,,,,'IP 10. Verdeling naar kostenplaatsen',,"Mapping, Berekend in Mapping?, Handmatig in Mapping?, Mapping incl Totaal"
MA 58. UMD to Toeslag Indirect,SYSTEM,SS Rekeningcategorie - UMD,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,3,"HV: Since this is not published anywhere (users dont have access) and its a one dimension thing, I suggest migrating this to its IM module.",,,,,'CA 26. Calculatie Toeslag Indirect',,Mapping UMD
MA 59.TS -> CA22a,SYSTEM,SS DB/TS - Toeslagen,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,6,"HV: Since this is not published anywhere (users dont have access) and its a one dimension thing, I suggest migrating this to its IM module.",,,,,'└ IP 16c. Toeslagen percentages',,CA 22a
MA 61. Kostenplaats L7 Aggregation mapping,SYSTEM,SS Kostenplaats L7 - Active,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,5442,"HV: Since this is not published anywhere (users dont have access) and its a one dimension thing, I suggest migrating this to its IM module.",,,,,'└ DA 31b.  Historical Data Aggregated',,"Item, Overwrite, Final Grouping, Has value?, ---Technical---, Kostenplaats L7 Active - Write access, Kostenplaats L7 Budget?, Aanwezig in budget?, Format input, Format input Budget"
MA 62. Dummy IC,SYSTEM,Account L12 Flat - IC,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,9,HV: Not being referrenced not published. Remove.,,,,,,,"Name, Code, L12"
MA 63. LIS (CA 29) MJP to rekeningcategorie,SYSTEM,LIS (CA 29) MJP,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,13,"HV: Since this is not published anywhere (users dont have access) and its a one dimension thing, I suggest recategorizing this module as an IM module.",,,,,"'CA 01. SIP - continued', 'RP 16. MJP Inflatie', 'EX xx. Export plan to FSP'",,Rekeningcategorie
MA 63 LIS CA22a to DB/TS Items,SYSTEM,LIS (CA 22a) Indirecte toeslagen,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,18,"HV: Since this is not published anywhere (users dont have access) and its a one dimension thing, I suggest recategorizing this module as an IM module.",,,,,'└ CA 22c. Collect indirecte toeslagen',,"Mapping, Mapping #2"
MA 64 LIS CA 29 to Rekeningcategorie,SYSTEM,LIS (CA 29) MJP,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,13,"HV: Since this is not published anywhere (users dont have access) and its a one dimension thing, I suggest recategorizing this module as an IM module.",,,,,"'CA 46 Cost + Inflatie', 'RP 16. MJP Inflatie'",,Mapping
MA 60. LIS (CA 29) MJP to LIS (DA 04) cumulative,SYSTEM,LIS (CA 29) MJP,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,65,"HV: Since this is not published anywhere (users dont have access) and its a one dimension thing, I suggest recategorizing this module as an IM module.",,,,,"'└CA 41a. Netverder Inflatie - Naar rekeningcategori', 'RP 16. MJP Inflatie'",,"Mapping, TOTEX, EBITDA, Netverder, TOTEX exclusief toeslagen"
MA 66. LIS CA 24 KC voor Uurtariefen,SYSTEM,LIS (CA 24) Kostencategorieen voor Uurtariefen,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,24,HV: Not being referrenced not published. Remove.,,,,,,,Mapping CA 24 MJP to Budget
⠀⠀⠀       ◼️ Settings,,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,0,,,,,,,,
SET 01. Import Scenario Settings,SYSTEM,MJP Versions L2,Year,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,2098,,,,,,"'DA 28. Meerjarenplan Euros per jaar', 'DA 29. Meerjarenplan FTEs per jaar', '└ DA 29a. Meerjarenplan FTEs Driver Selectie', 'IP 02. IAS16 kosten (cumulatief)', '└ IP 10f. - Gemiddeld tarief FTE per kostenplaatsen', '└ IP 10f. NEW - Jaar FTE tarief/uren per KP', '└ IP 16b. Invoer DB/TS Inflatie', '└IP 28a. BAK, Subsidie Meerjarig', 'IP 31. Netverder', 'IP 32. Urenschrijvende FTE''s', '└CA 00a. SIP- Delta Analyse', 'CA 01. SIP - continued', 'CA 04. FTE naar COEA', 'CA 06. FTE kosten MJP', 'CA 11. Verdeling naar Grootboekrekening overzicht', 'CA 11 NEW. Verdeling naar Grootboekrekening', 'CA 22. Berekening Doorbelastingen', '└ CA 22a. Berekening toeslagen', '└ CA 22a. Berekening toeslagen - Copy', 'CA 24. MJP Kosten uren uitvoeringskosten', 'CA 25. MJP Uren uitvoeringskosten', 'CA 26. Calculatie Toeslag Indirect', 'CA 34. MJP naar thema''s', 'CA 34. MJP naar thema''s - Meerjarig', 'DA 04. Parameters FSP', 'DA 03. Inflatie', 'CA 40. BAK Inflatie + Meerjarig', 'CA 41. Netverder Inflatie', 'RP 06. samenvatting MJP', '└ RP 06c.TOTEX Analyse', 'RP 08. Formatie MJP', 'RP 09. Afdelingskosten', 'RP 27. Check report overview', 'FI 03. User Filter Years II', 'FI 01. Select Versie Budget', '└ SET 01a. Import Scenario Settings Monthly', '└ SET 01b. Import Scenario Dashboard Settings', 'SET 02. Tijd Settings - Maand', 'SE 02. Filter Settings Staven', 'SET 03. Tijd Settings - Jaar', 'EX 06. Export inflatie to Datahub', 'EX xx. Export plan to FSP', '└EX 01a. Export plan to FSP - BAK'","1.4 Input Staven, 1.6 Input Operations non SIP","ITEM(TIME) Y, Vorig Jaar, Select Import Scenario, Select Import Scenario for Export, Data Type, Data Type - FC Period, Input - Period, Input Dashboard, Input dashboard Operations - overig, FC period?, FC Period Long TR?, > MJP Period?, FC Period FSP?, FC Period FSP? and NOT BUD?, Historic Period?, FY 23?, FY 24?, Future Period?, Future period? Not FC Period?, Future period? Not FC + 15 period?, Future period? Not FC + 30 period?, Last month in year, ACT?, Last ACT?, Last ACT -1?, BUD?, MJP?, Historic? 0/1, Budget Year, FC Time 0, Start of model - Year, FC 1 Time, FC 1, FC -1, Count FC - 1, FC -2, Count FC, Format, Count, Start of model, Budget scenario, test, FSP Period, MJP period?, LTIP Period"
└ SET 01a. Import Scenario Settings Monthly,SYSTEM,MJP Versions L2,Month,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,25629,,,,,,"'IP 05. Seizoenspatronen', '└ IP 10d. Calculatie seizoenspatronen', 'CA 54. Bezettingsresultaat en dekkingsgraad', 'RP 07. formatie ontwikkeling', 'RP 30. Controle DB en TS', '└ SET 01c. Import Scenatio Dashboard Settings Monthly', 'SET 08. Tijd x Version x Dummy', '└EX 01a. Export netverliezen to FSP'",,"Time (Y), Time, Select Import Scenario, Data Type, Data Type - FC Period, Input - Period, Input Dashboard, Input dashboard Operations - overig, FC period?, Historic Period?, Future Period?, Future Period OR BUD?, Future period? Not FC Period?, Future period? Not FC + 15 period?, Future period? Not FC + 30 period?, ACT?, Last ACT?, BUD?, BUD Months Only?, MJP?, Month, Dec?, December, Dec BUD?, FTE dashboard TR, Historic? 0/1, Budget Year, FC Time 0, Start of model - Year, FC 1 Time, FC 1, FC -1, Count FC - 1, FC -2, Count FC, Format, Count, Start of model, Budget scenario, test, FSP Period, Kwartalen, Previous Version Month, Current Version Startjaar, Previous Version Startjaar, Delta Startjaar huidig - vorig"
└ SET 01b. Import Scenario Dashboard Settings,SYSTEM,"MJP Versions L2, Import Scenario",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,3252,,,,,,"'└ RP 06b. Variantie Analyse', '└ RP 07a. Variantie Analyse', '└ RP 08a. Variantie Analyse', '└ RP 18a. Powerpoint KPI''s Waarde', '└ FI 07ag. User Filters - Suppress Zeroes OPEX', '└ FI 07ah. User Filters - Suppress Zeroes CAPEX'",,"Show? Ex inflation, Show? With summary, Show? Inc and Ex inflation, Show? Inc Inflation, Import scenario for export?, Import scenario for export months?, Show? Months, Show? Without Budget Ex Inflation, Show? Without Budget Inc Inflation, Show? Without Budget Inc and Ex Inflation, Show? Netverder, Show? Historic no Budget"
└ SET 01c. Import Scenatio Dashboard Settings Monthly,SYSTEM,"MJP Versions L2, Import Scenario",Month,TR formatie ontwikkeling,Not Applicable,New Line Items: Off,Show All Users: On,480,,,,,,,,Kwartalen
SET 02. Tijd Settings - Maand,SYSTEM,,Month,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,2289,,,,,,"'IP 05. Seizoenspatronen', '└ IP 10d. Calculatie seizoenspatronen', '└ IP 11a. Invoer seizoenspatroon IC handmatig', '└ IP 18b. Seizoenspatronen Calculatie Maand', 'CA 18. Invoer seizoenspatroon IC', '└ CA 22c. Collect indirecte toeslagen', 'CA 51. Monthly allocation 5 years', 'CA 59. IKT', 'RP 07. formatie ontwikkeling', '└ RP 07a. Variantie Analyse', '└ SET 01a. Import Scenario Settings Monthly', '└ SET 01b. Import Scenario Dashboard Settings', 'SET 08. Tijd x Version x Dummy', 'EX 01. Export plan to FSP', '└EX 01a. Export netverliezen to FSP'",,"YEAR, December, MONTH - ITEM(time), PY, PY Month, Y-2 Month, NY Month, Month Value, Dummy Month, Show budget?"
SE 02. Filter Settings Staven,SYSTEM,MJP Versions L2,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,10,HV: Filter module,,,,,'FI.05. Filter Input MJP',,"Show From, Show Until, Number of Years forecast, Show form Input, Show until Input"
SET 03. Tijd Settings - Jaar,SYSTEM,,Year,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,127,,,,,,"'DA 28. Meerjarenplan Euros per jaar', 'CA 05. Risico & Kansen', 'RP 17. KPI Waarde report creation', 'RP 18. KPI Waarde over years', 'SET 07. Tijd x Version'",,"Tijd, December, ITEM, Previous Year, MJP Years?, Current Year, Current Year?"
SE 03. Budget settings,SYSTEM,MJP Versions L2,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,4,HV: Merge with SET 05,,,,,,,"Afwijkingspercentage, Afwijking % -  COEA, Afwijking % - Formatie"
SET 04. Datum Settings,SYSTEM,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,4,HV: SET 01,,,,,"'IP 22. Create KPI_Afdeling', 'IM 43. KPI_Afdeling', 'SET 03. Tijd Settings - Jaar'",,"Huidige Datum, Huidige Maand, Huidig Jaar, Datum for code"
SET 04. Datum vandaag (Cloudworks),SYSTEM,Dummy vandaag,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,8,,,,,,"'SET 04. Datum Settings', 'EX 01. Export plan to FSP'",,"MAIN datum, MAIN datum +1, MAIN integratie mislukt?, BACKUP datum, BACKUP datum +1, BACKUP integratie mislukt?, Datum van vandaag - dummy, Datum van vandaag"
SET 05. MJP Version Control,SYSTEM,MJP Versions L2,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,44,,,,,,"'DA 01. Total Plan SIP', 'DA 28. Meerjarenplan Euros per jaar', 'DA 29. Meerjarenplan FTEs per jaar', '└ DA 29a. Meerjarenplan FTEs Driver Selectie', '└IP 02a. IAS16 naar maanden', 'IP 05. Seizoenspatronen', 'IP 10. Verdeling naar kostenplaatsen', 'IP 10x1. NEW Afdelingkosten naar KP', '└ IP 10a. Verdeling naar grootboekrekening', '└ IP 10a NEW. Verdeling naar grootboekrekening', '└ IP 10c. Selecteer seizoenspatroon', '└ IP 10d. Calculatie seizoenspatronen', '└ IP 10f. - Gemiddeld tarief FTE per kostenplaatsen', '└ IP 10f. NEW - Jaar FTE tarief/uren per KP', 'IP 25.  IC allocation naar kostenplaats', 'IP 40. Input Thema L3++ split', 'IP 41. Input Activiteit L4+ split', 'CA 00. SIP Adjusted', '└CA 00a. SIP- Delta Analyse', 'CA 05. Risico & Kansen', 'CA 06. FTE kosten MJP', 'CA 11. Verdeling naar Grootboekrekening overzicht', 'CA 11 NEW. Verdeling naar Grootboekrekening', '└ CA 11a. Verdeling naar maand overzicht', '└ CA 11a NEW. Verdeling naar maand overzicht', 'CA 14. FTE Versie Variance', 'CA 19. Rekeningcategorie Allocatie', 'CA 20. Toeslag Direct', 'CA 21. Berekend UMDT op Activiteit', '└ CA 21c. UMDT + Inflatie (L4+)', 'CA 23. Berekend UMDT op L3++ Thema''s', '└ CA 23c. UMDT + Inflatie (L3+)', 'CA 24. Budget Kosten uren uitvoeringskosten-TBD', '└ CA 25a. FTE & Uurtarief input', 'CA 30. DB/TS naar Kostenplaats', 'CA 38. Toeslagen GBR', 'CA 50. Monthly allocation key FSP', 'CA 59. IKT', 'CA 99. Samenvatting', '└ RP 06a. samenvatting COEA', 'RP 17. KPI Waarde report creation', 'RP 18. KPI Waarde over years', 'RP 21. COEA Versie Variance Totals', 'RP 22. COEA Versie Variance', 'RP 24. FTE Versie Variance Totals', 'RP 27. Check report overview', 'FI 04. Read-Only', 'IM 34. SIP Activiteit L4', 'SET 01. Import Scenario Settings', '└ SET 01a. Import Scenario Settings Monthly', 'SET 07. Tijd x Version', 'EX 01. Export plan to FSP', '└EX 01a. Export netverliezen to FSP', '└EX 01b. Export IKT Data  to FSP', '└EX 01c. Export IKT growth  to FSP', '└EX 01d. Export Tafel/Thema to FSP', 'EX xx. Export plan to FSP', '└EX 01a. Export plan to FSP - BAK', '└EX 01b. Export plan to FSP - % Personeelkosten', 'SEC 03. Subset Account L12 - Budget Access'","3.1 Output Staven, 3.2 Output Operations (SIP), 3.3 Output Operations (Non SIP), 5.2 Versie Control","Item, Name, Code, Filter, Delete?, Export FSP versie?, Export versie FSP, Vorige versie MJP?, SIP Planvariant, SIP planvariant LTF, Format, Vorige versie, Lock yearly input, Huidig Jaar, Vorig Jaar, Startjaar MJP, Eindjaar MJP, LE, Model 03-26, Summing Item, --- Technical ---, CF"
SET 06. Version copy control,SYSTEM,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,2,HV: Merge with datum settings,,,,,'LO 08. Import SIP Euro',,"Select source version, Select target version"
SET 07. Tijd x Version,SYSTEM,MJP Versions L2,Year,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,42,HV: Move to Import Scenario Settings,,,,,'SET 08. Tijd x Version x Dummy',,Startjaar MJP?
SET 08. Tijd x Version x Dummy,SYSTEM,MJP Versions L2,Month,TR Model calendar + Total periods,Not Applicable,New Line Items: Off,Show All Users: On,7180,,,,,,"'└ IP 10d. Calculatie seizoenspatronen', 'CA 51. Monthly allocation 5 years', 'SET 09. Dummy x Tijd x Version'",,"Maand Mapping (Budget), Maand Mapping (MJP), Startmaand MJP #, Maanden MJP, Maand, Maand #, TEXT, 1st Month"
SET 09. Dummy x Tijd x Version,SYSTEM,"MJP Versions L2, Dummy Maand",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,96,,,,,,"'└CA 16a. Controle UMD vs Thema', '└ CA 22c. Collect indirecte toeslagen', 'CA 39. Other Rekeningcategorie GBR', 'CA 50. Monthly allocation key FSP', 'CA 54. Bezettingsresultaat en dekkingsgraad'",,"Maand, Text, Number, Dummy"
DC 00. Data Checks,,MJP Versions L2,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,2,,,,,,,,IP 10 updated
⠀⠀⠀       ◼️ Export modules,,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,0,,,,,,,,
EX 01. Export plan to FSP,OUTPUT,"OPEX CAPEX, Rekeningcategorie, SS Afdeling L5 - Budget Afdelingen",Month,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,748571,,,,,,,,"MJP Versie Code, Timestamp, Plan exclusief inflatie, Plan inclusief inflatie"
└EX 01a. Export netverliezen to FSP,OUTPUT,Product,Month,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,2268,,,,,,,,"P, Q, Vergroening, Nacalculaties, Totaal, Product Code, MJP Versie Code"
└EX 01b. Export IKT Data  to FSP,OUTPUT,IKT items,Month,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,2160,,,,,,,,"Version Code, Volumes, Tarieven, Kosten"
└EX 01c. Export IKT growth  to FSP,OUTPUT,,Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,27,,,,,,,,"Version Code, Growth volume (%), Growth price Tennet (%)"
└EX 01d. Export Tafel/Thema to FSP,OUTPUT,"SIP Thema L3, OPEX CAPEX, SS Afdeling L5 - Budget Afdelingen",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,456192,,,,,,,,"Version Code, Thema Code, Exclusief inflatie, Inclusief inflatie"
EX 02. Export plan to Powerapps financieel,OUTPUT,"MJP Versions L2, Uni-code COEA-MJP-ACC",Month,MJP BU TR,Not Applicable,New Line Items: Off,Show All Users: On,3070968,HV: Only PY + CY,,,,,,,"Finale waarde, inflatie %, inflatie, Finale waarde incl inflatie"
EX 03. Export plan to Powerapps formatie,OUTPUT,"MJP Versions L2, MJP Kostenplaats L7, SS - FTE Type FSP",Month,MJP BU TR,Not Applicable,New Line Items: Off,Show All Users: On,826800,HV: TR changed to match IP 10e,,,,,,,FTE
